date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/24/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"125,092","$34,748,055.76",8.24%
11/24/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"481,291","$33,276,459.74",7.89%
11/24/2025,ARKX,TERADYNE INC,TER,880770102,"203,243","$32,272,955.97",7.66%
11/24/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"110,004","$29,980,490.16",7.11%
11/24/2025,ARKX,ROCKET LAB,RKLB UQ,773121108,"714,146","$28,780,083.80",6.83%
11/24/2025,ARKX,DEERE & CO,DE,244199105,"42,655","$20,783,222.20",4.93%
11/24/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,750,197","$19,746,414.46",4.68%
11/24/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"125,257","$19,396,046.45",4.60%
11/24/2025,ARKX,TRIMBLE INC,TRMB,896239100,"247,262","$19,046,591.86",4.52%
11/24/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"91,128","$18,570,063.84",4.41%
11/24/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,060,377","$17,019,050.85",4.04%
11/24/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"68,715","$15,164,713.35",3.60%
11/24/2025,ARKX,NVIDIA CORP,NVDA,67066G104,"63,634","$11,382,849.92",2.70%
11/24/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"867,126","$11,333,336.82",2.69%
11/24/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"35,027","$10,495,840.55",2.49%
11/24/2025,ARKX,THALES SA,HO,4162791,"37,219","$9,726,563.05",2.31%
11/24/2025,ARKX,KOMATSU LTD,6301,6496584,"297,975","$9,640,928.15",2.29%
11/24/2025,ARKX,BWX TECHNOLOGIES INC,BWXT,05605H100,"44,801","$7,607,657.81",1.80%
11/24/2025,ARKX,STRATA CRITICAL MEDICAL INC,SRTA,092667104,"1,739,413","$7,305,534.60",1.73%
11/24/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"12,345","$5,847,949.95",1.39%
11/24/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"29,845","$5,737,104.35",1.36%
11/24/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"10,920","$5,403,980.40",1.28%
11/24/2025,ARKX,HEICO CORP,HEI,422806109,"16,861","$5,112,592.42",1.21%
11/24/2025,ARKX,AIRBUS SE,AIR,4012250,"20,555","$4,799,970.34",1.14%
11/24/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"24,899","$4,731,307.98",1.12%
11/24/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"171,153","$4,630,498.45",1.10%
11/24/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"11,787","$4,577,599.32",1.09%
11/24/2025,ARKX,DOORDASH INC - A,DASH,25809K105,"23,711","$4,496,316.93",1.07%
11/24/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,950,725","$4,480,904.66",1.06%
11/24/2025,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"16,108","$4,430,666.48",1.05%
11/24/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"509,992","$4,396,131.04",1.04%
11/24/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"136,396","$2,930,222.55",0.70%
11/24/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,562","$2,562,858.36",0.61%
11/24/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,082,511","$1,082,511.40",0.26%
