date,fund,company,ticker,cusip,shares,market value ($),weight (%)
03/27/2026,ARKW,TESLA INC,TSLA,88160R101,"391,672","$145,745,067.92",9.94%
03/27/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"537,946","$109,617,256.42",7.48%
03/27/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"3,937,558","$89,500,299.58",6.10%
03/27/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"753,601","$74,056,370.27",5.05%
03/27/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"639,303","$73,794,745.29",5.03%
03/27/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,005,754","$70,754,793.90",4.83%
03/27/2026,ARKW,ROKU INC,ROKU,77543R102,"667,414","$59,419,868.42",4.05%
03/27/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"341,046","$59,130,555.48",4.03%
03/27/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"944,995","$50,887,980.75",3.47%
03/27/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"622,695","$50,095,812.75",3.42%
03/27/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"176,684","$49,602,266.16",3.38%
03/27/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"336,279","$49,621,329.24",3.38%
03/27/2026,ARKW,BLOCK INC,XYZ,852234103,"688,946","$40,902,724.02",2.79%
03/27/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"121,639","$39,667,694.29",2.71%
03/27/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"172,776","$35,857,931.04",2.45%
03/27/2026,ARKW,BULLISH,BLSH,G16910120,"969,041","$35,311,854.04",2.41%
03/27/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"151,379","$31,809,269.27",2.17%
03/27/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,610,470","$31,355,850.90",2.14%
03/27/2026,ARKW,BROADCOM INC,AVGO,11135F101,"96,063","$29,723,333.15",2.03%
03/27/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"69,154","$27,151,243.48",1.85%
03/27/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"46,637","$25,535,622.98",1.74%
03/27/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"190,755","$23,710,846.50",1.62%
03/27/2026,ARKW,FIGMA INC-CL A,,316841105,"1,067,928","$23,654,605.20",1.61%
03/27/2026,ARKW,EVERPURE INC-A,PSTG,74624M102,"350,159","$21,723,864.36",1.48%
03/27/2026,ARKW,NETFLIX INC,NFLX,64110L106,"216,555","$20,208,912.60",1.38%
03/27/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"105,347","$18,039,620.28",1.23%
03/27/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"138,007","$17,307,457.87",1.18%
03/27/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"352,556","$16,778,140.04",1.14%
03/27/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"612,606","$16,166,672.34",1.10%
03/27/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"32,267","$15,429,434.06",1.05%
03/27/2026,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"137,929","$15,159,776.39",1.03%
03/27/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"99,861","$15,174,877.56",1.03%
03/27/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"9,228","$15,050,775.72",1.03%
03/27/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"699,846","$14,885,724.42",1.02%
03/27/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"3,317,919","$14,632,022.79",1.00%
03/27/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"669,005","$14,216,356.25",0.97%
03/27/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"67,907","$8,899,891.42",0.61%
03/27/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"846,001","$6,751,087.98",0.46%
03/27/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,604,398","$3,604,397.89",0.25%
03/27/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"452,010","$3,105,308.70",0.21%
03/27/2026,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"1,755,335","$1,437,443.83",0.10%
03/27/2026,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"1,395,691","$767,630.05",0.05%
