date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/04/2025,ARKQ,TESLA INC,TSLA,88160R101,"450,718","$201,353,759.32",12.62%
12/04/2025,ARKQ,TERADYNE INC,TER,880770102,"852,290","$166,264,733.20",10.42%
12/04/2025,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,560,225","$113,553,175.50",7.11%
12/04/2025,ARKQ,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"500,788","$88,178,751.04",5.52%
12/04/2025,ARKQ,ADVANCED MICRO DEVICES,AMD,007903107,"325,580","$70,846,208.00",4.44%
12/04/2025,ARKQ,ARCHER AVIATION INC-A,ACHR,03945R102,"8,182,325","$68,322,413.75",4.28%
12/04/2025,ARKQ,AEROVIRONMENT INC,AVAV,008073108,"244,632","$66,486,084.96",4.17%
12/04/2025,ARKQ,ROCKET LAB,RKLB UQ,773121108,"1,417,502","$63,390,689.44",3.97%
12/04/2025,ARKQ,DEERE & CO,DE,244199105,"116,452","$56,108,902.64",3.52%
12/04/2025,ARKQ,TRIMBLE INC,TRMB,896239100,"647,993","$53,352,503.66",3.34%
12/04/2025,ARKQ,AMAZON.COM INC,AMZN,023135106,"188,755","$43,862,886.90",2.75%
12/04/2025,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,"129,824","$41,624,170.88",2.61%
12/04/2025,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"139,746","$41,287,955.70",2.59%
12/04/2025,ARKQ,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"136,358","$37,872,070.92",2.37%
12/04/2025,ARKQ,NVIDIA CORP,NVDA,67066G104,"208,009","$37,354,256.22",2.34%
12/04/2025,ARKQ,SYMBOTIC INC,SYM UQ,87151X101,"430,985","$31,556,721.70",1.98%
12/04/2025,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,775,174","$30,408,730.62",1.91%
12/04/2025,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,"242,537","$28,444,739.36",1.78%
12/04/2025,ARKQ,BWX TECHNOLOGIES INC,BWXT,05605H100,"158,904","$27,762,117.84",1.74%
12/04/2025,ARKQ,JOBY AVIATION INC,JOBY,G65163100,"1,821,057","$26,642,063.91",1.67%
12/04/2025,ARKQ,CAMECO CORP,CCJ,13321L108,"296,075","$26,483,908.75",1.66%
12/04/2025,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,"789,175","$25,806,022.50",1.62%
12/04/2025,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,"36,535","$20,814,354.85",1.30%
12/04/2025,ARKQ,PONY AI INC,PONY,732908108,"1,434,219","$20,337,225.42",1.27%
12/04/2025,ARKQ,AURORA INNOVATION INC,AUR,051774107,"4,214,847","$19,008,959.97",1.19%
12/04/2025,ARKQ,CATERPILLAR INC,CAT,149123101,"32,040","$18,951,339.60",1.19%
12/04/2025,ARKQ,STRATA CRITICAL MEDICAL INC,SRTA,092667104,"4,153,678","$18,442,330.32",1.16%
12/04/2025,ARKQ,DOORDASH INC - A,DASH,25809K105,"81,802","$18,199,308.96",1.14%
12/04/2025,ARKQ,SYNOPSYS INC,SNPS,871607107,"38,901","$18,144,982.44",1.14%
12/04/2025,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,"37,158","$17,848,102.14",1.12%
12/04/2025,ARKQ,QUALCOMM INC,QCOM,747525103,"102,326","$17,823,142.68",1.12%
12/04/2025,ARKQ,INTUITIVE MACHINES INC,LUNR,46125A100,"1,624,741","$16,572,358.20",1.04%
12/04/2025,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,"1,246,170","$15,664,356.90",0.98%
12/04/2025,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"30,147","$15,192,882.12",0.95%
12/04/2025,ARKQ,OKLO INC,OKLO,02156V109,"107,468","$10,380,334.12",0.65%
12/04/2025,ARKQ,KODIAK AI INC,KDK,500081104,"1,464,830","$8,657,145.30",0.54%
12/04/2025,ARKQ,WERIDE INC-ADR,WRD,950915108,"858,295","$7,827,650.40",0.49%
12/04/2025,ARKQ,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"5,180,955","$5,180,955.29",0.32%
